40000
  36.1033101196   36.1033101196   36.1033101196
47 1   31.6389163547   14.8887739607   26.4090825156    0.9205240389    0.2379083053    0.0658069428
48 1   32.0180862055   15.6253591126   25.9537841486    0.6375862153    0.6314413014    1.1857336761
49 1   31.9991849784   15.5230338385   24.9874780893   -0.8987215395   -0.2620775654    0.6254491335
50 1   31.4560943112   14.8267739062   25.3311410921    0.8409304947   -1.3433680594   -0.1798424148
51 1   30.8724351989   15.3594948261   25.9183163456    0.3576464246    1.0019719022   -1.2825993395
52 1   30.3537589684   14.6002464890   25.6739727641    0.5977289616    0.9182833469   -0.5149712180
53 1   30.3934852484   14.7582992377   26.6987305985   -0.1316034256   -0.3741373988   -0.4628462129
54 1   30.2339186153   14.0983483412   27.3696603637    0.7681981721    0.1595883950   -1.0577811827
55 1   29.9378388900   13.8096837237   28.2642119352   -0.9401018689   -0.4943845882    0.5883594282
56 1   30.8159632010   14.2347754659   28.5231655338    0.2096766158    0.8364104150   -1.2432117793
57 1   30.7660913054   13.3607479231   28.9643660362   -0.8237983033    1.5384555483    0.8315845755
58 1   31.1877498821   13.0024209888   28.2192538921    1.6174406157   -0.9077312326   -0.6848935019
59 1   31.2072901220   12.0900613949   28.4979771717   -0.0146957690    0.0958270389   -0.2058493880
60 1   31.9230351029   11.9417129870   27.8476478961   -0.3581164940    0.5468714544   -1.4220527687
61 1   31.5985856168   11.0275260497   27.4670633322   -0.1207285446    0.5402248682    1.0217145698
62 1   31.4027875896   10.4740472680   26.6842823556    0.4359886241   -0.7883514574    0.6428281626
63 1   30.4551021660   10.5982390721   26.7680921319    0.7606086322    0.1864097783   -0.4521610651
64 1   30.7357163431   10.7728298985   25.8779768590    1.0780500065   -0.0008738956   -0.7900684825
65 1   30.7670783108    9.7942127047   26.0162710772    0.8040862661   -2.2091138486    0.9014947023
66 1   29.8308967226    9.7686934426   26.0299142708   -1.6133661553   -0.5762233074   -1.0347519913
67 1   28.9823386584    9.6040648900   26.3235361783    0.2064770822    1.1823840395    0.9773449529
68 1   28.4472200673    9.0346366294   25.7987188025   -0.6885076580    1.2421707365    1.8929331533
69 1   27.4845991378    9.2009210445   25.4551317978   -0.4770413849    1.5917651128    1.9657020555
70 1   26.8504490524    9.6860834978   25.9437353625   -1.3001884119   -1.5628936769   -0.0578115459
71 1   27.3093854752    9.1336569041   26.6388971853    0.2533456671   -1.5776764935    0.2762749526
72 1   26.8293013298    8.6195295188   25.9889027623   -0.8323313227   -0.2630484600    1.2970182600
73 1   27.6960878140    8.3120384552   25.9225139298    0.9946352159   -0.2551602303    0.8276255197
74 1   27.0090660813    7.6115171091   25.7392516826   -0.4830978617    0.4249983942   -0.4089814828
75 1   27.4635746757    7.2636680530   26.5005586983    0.3030423767    2.6219290914    1.6024452390
76 1   27.5576629604    6.4811159449   27.0621023113    1.3865307340    1.1385205293   -1.5397833829
77 1   27.9635527750    7.2461700712   27.4981189628   -0.6960255459    0.0919532261    2.4865834981
78 1   28.3087832276    8.1288145334   27.5373829149   -1.0620002214    1.2142676295    0.4083426896
79 1   28.3576811097    8.6642010346   26.7098204269   -0.1198070604   -0.1412648027    0.6869120395
80 0    3.4494951566  -19.0683223763    6.8946091317    0.3961018338    0.5464658162    0.3693324241
81 0    4.3252370667  -18.6632639280    6.9153312010    1.0838464548    0.8783756473   -1.3258940095
82 0    4.8958876364  -17.8222299168    6.7417892641    0.9893329731   -0.9383548522    0.2562588908
83 0    4.7936150259  -18.2692745167    5.9045355189    0.1564412625   -0.2867993533   -0.5268698964
84 0    5.0389429200  -17.7068892258    5.1191294394   -1.5268901620    1.4842280869    1.2571598907
85 0    5.2722767263  -17.0650889957    4.3877466511   -0.6778795093   -1.9203359335   -1.9491482862
86 0    4.4041060072  -16.7312503602    4.6299646641    0.9915437076   -0.8485256004    0.0762682024
